model,approach,accuracy,precision,recall,f1,f1_macro
LR,A_Holdout,0.9169549141344853,0.9721608697067803,0.9169549141344853,0.9399446091349792,0.6597682268571625
DT,A_Holdout,0.9977477151048023,0.9977786863926907,0.9977477151048023,0.9977607479124742,0.9571555289862662
RF,A_Holdout,0.9982309687309644,0.9982083017028375,0.9982309687309644,0.9982105949378983,0.9608773675295034
LR,B_CV,0.9169549141344853,0.9721608697067803,0.9169549141344853,0.9399446091349792,0.6597682268571625
DT,B_CV,0.9977477151048023,0.9977786863926907,0.9977477151048023,0.9977607479124742,0.9571555289862662
RF,B_CV,0.998187902426662,0.9981868138202438,0.998187902426662,0.9981828684121516,0.9619315344054594
